work;author
2190;11826
1180;11826
1323;11826
2100;11826
1472;11826
837;11826
839;11826
1223;11826
2120;11826
2132;11826
1754;11826
1243;11826
1768;11826
1011;11826
1655;11826
761;11826
1533;11826
6633;11827
765;11827
1957;11828
766;11828
1896;11829
771;11829
810;11830
772;11830
2091;11831
774;11831
777;11832
1487;11832
1520;11832
1522;11832
1687;11832
787;11833
1939;11834
789;11834
2210;11835
794;11835
1940;11835
1733;11835
1282;11836
2210;11836
2116;11836
1733;11836
1959;11836
968;11836
2185;11836
1962;11836
1068;11836
4623;11836
1940;11836
794;11836
858;11836
795;11837
2109;11837
1427;11838
2070;11838
797;11838
929;11838
1825;11838
1447;11838
1069;11838
1584;11838
2869;11838
1079;11838
1104;11838
1362;11838
1881;11838
993;11838
1509;11838
1391;11838
1396;11838
1912;11838
1657;11838
799;11839
1747;11840
799;11840
801;11841
1852;11841
814;11842
943;11842
817;11843
817;11844
817;11845
3720;11846
817;11846
818;11847
824;11848
824;11849
825;11850
1097;11851
828;11851
1097;11852
828;11852
928;11853
865;11853
829;11853
1289;11853
2226;11854
834;11854
1611;11854
830;11854
830;11855
834;11856
841;11857
841;11858
1909;11858
1781;11858
961;11859
843;11859
1163;11859
1484;11859
1933;11859
1206;11859
1595;11859
991;11859
846;11860
1601;11861
963;11861
847;11861
1449;11862
1123;11862
853;11862
1862;11862
854;11863
854;11864
1962;11865
858;11865
2116;11865
1959;11865
860;11866
874;11867
861;11867
5890;11868
876;11868
10765;11868
879;11869
882;11870
884;11871
919;11871
885;11872
1815;11873
1397;11873
887;11873
892;11874
1760;11875
1851;11875
893;11875
899;11876
906;11877
11162;11878
11133;11878
909;11878
10575;11878
912;11879
1708;11879
2191;11879
6181;11880
1708;11880
2191;11880
912;11880
6939;11880
920;11881
1689;11881
936;11882
10652;11882
938;11883
1246;11883
941;11884
944;11885
944;11886
1262;11886
945;11887
1610;11887
1241;11887
2133;11887
951;11888
952;11889
1212;11889
955;11890
959;11891
962;11892
1040;11893
966;11893
1248;11894
1409;11894
1187;11894
2085;11894
1574;11894
967;11894
1483;11894
2219;11894
1710;11894
1903;11894
2065;11894
1983;11894
1148;11894
1727;11894
968;11895
1068;11895
1215;11896
2115;11896
1897;11896
973;11896
1970;11896
1247;11896
974;11897
976;11898
2188;11898
1507;11898
1683;11898
1736;11899
2099;11899
1452;11899
981;11899
985;11900
985;11901
1634;11901
1634;11902
10853;11902
11028;11902
985;11902
11259;11902
1152;11903
1006;11903
1682;11903
1236;11903
2165;11903
1213;11903
1008;11904
1105;11904
1115;11904
1008;11905
1105;11905
1115;11905
1009;11906
1012;11907
1904;11908
1589;11908
1132;11908
1013;11908
1016;11909
1375;11909
3040;11910
1018;11910
1019;11911
1019;11912
1336;11913
1968;11913
1030;11913
1407;11913
1031;11914
2027;11915
1037;11915
1041;11916
1795;11917
1059;11917
1047;11917
1050;11918
1168;11919
1050;11919
1054;11920
1054;11921
1056;11922
1640;11922
1513;11923
1061;11923
1062;11924
1065;11925
1813;11925
1066;11926
1191;11927
1071;11927
1322;11928
1075;11928
1218;11929
2178;11929
2118;11929
1577;11929
1836;11929
1677;11929
1651;11929
1081;11929
2142;11929
1084;11930
1090;11931
1108;11932
1108;11933
2045;11934
1109;11934
2057;11935
1283;11935
1118;11935
1929;11936
1267;11936
1119;11936
1122;11937
2058;11937
1794;11938
1607;11938
1127;11938
1960;11938
1770;11938
1910;11938
1769;11939
1130;11939
1133;11940
1134;11941
8066;11942
1134;11942
1136;11943
1136;11944
1137;11945
1818;11945
1137;11946
2152;11947
1138;11947
1144;11948
1471;11948
1152;11949
2165;11949
1182;11950
1192;11951
2098;11951
1877;11951
1669;11951
1193;11952
2217;11953
2162;11953
4403;11953
1198;11953
2217;11954
4403;11954
1198;11954
2217;11955
2162;11955
4403;11955
1198;11955
1210;11956
1221;11957
1827;11958
1226;11958
1518;11958
2223;11958
1395;11958
1431;11958
1234;11959
1757;11960
1249;11960
1581;11960
1423;11960
1757;11961
1249;11961
1581;11961
1423;11961
1260;11962
1262;11963
1274;11964
1279;11965
2185;11966
1282;11966
1285;11967
2084;11968
1702;11968
1350;11968
1290;11968
1643;11968
1835;11968
1901;11968
1999;11968
1812;11968
1468;11969
1295;11969
1298;11970
1651;11970
1652;11970
1303;11971
1303;11972
1306;11973
1843;11973
1315;11974
2133;11974
1317;11975
6297;11976
1319;11976
1320;11977
1321;11978
1457;11978
2172;11978
1697;11978
1329;11979
1594;11979
1329;11980
1329;11981
1332;11982
1688;11983
1335;11983
1344;11984
2145;11984
1344;11985
1348;11986
1353;11987
1609;11987
1456;11987
1943;11987
1849;11987
1756;11987
1358;11988
1361;11989
1433;11990
1971;11990
1372;11990
2227;11990
1376;11991
1384;11992
1557;11992
1408;11993
1792;11993
1619;11993
1414;11994
1414;11995
1414;11996
1424;11997
1432;11998
6715;11998
1872;11998
1434;11999
1899;11999
1437;12000
1460;12001
2035;12001
1444;12001
1451;12002
1457;12003
1697;12003
2172;12003
3953;12004
1458;12004
4125;12004
1465;12005
1470;12006
1478;12007
1478;12008
2064;12009
1486;12009
2064;12010
1486;12010
1489;12011
2076;12011
1489;12012
2076;12012
1514;12013
1915;12013
1529;12014
5780;12014
1529;12015
1538;12016
2131;12017
1555;12017
2131;12018
1555;12018
1556;12019
1926;12019
1712;12020
1558;12020
1615;12020
1577;12021
1590;12022
1592;12023
3112;12023
7672;12024
7337;12024
7121;12024
7313;12024
10067;12024
7092;12024
1592;12024
7679;12024
1594;12025
2204;12026
1596;12026
1676;12027
1598;12027
1600;12028
1616;12029
1867;12030
1627;12030
1633;12031
1948;12031
1634;12032
1640;12033
1646;12034
1651;12035
1651;12036
1671;12037
1671;12038
1672;12039
1704;12040
1709;12041
1715;12042
1728;12043
1906;12043
1718;12043
1719;12044
1722;12045
1732;12046
6715;12047
1740;12047
2015;12047
1742;12048
2055;12048
1747;12049
1747;12050
1774;12051
1909;12052
1781;12052
1783;12053
1785;12054
1787;12055
1787;12056
1798;12057
1806;12058
1816;12059
9548;12059
1826;12060
1938;12060
1828;12061
1831;12062
1844;12063
7833;12064
